"species","kingdom","phylum","class","order"
"Mirabilis multiflora","Plantae",NA,NA,NA
"Muhlenbergia arenacea","Plantae",NA,NA,NA
"Muhlenbergia arenicola","Plantae",NA,NA,NA
"Muhlenbergia porteri","Plantae",NA,NA,NA
"Muhlenbergia torreyi","Plantae",NA,NA,NA
"Munroa squarrosa","Plantae",NA,NA,NA
"Nama hispidum","Plantae",NA,NA,NA
"Parthenium incanum","Plantae",NA,NA,NA
"Pectis angustifolia","Plantae",NA,NA,NA
"Penstemon fendleri","Plantae",NA,NA,NA
"Phacelia integrifolia","Plantae",NA,NA,NA
"Poa bigelovii","Plantae",NA,NA,NA
"Portulaca oleracea","Plantae",NA,NA,NA
"Portulaca pilosa","Plantae",NA,NA,NA
"Proboscidea parviflora","Plantae",NA,NA,NA
"Psilostrophe tagetina","Plantae",NA,NA,NA
"Sanvitalia aberti","Plantae",NA,NA,NA
"Scleropogon brevifolius","Plantae",NA,NA,NA
"Scorzonera laciniata","Plantae",NA,NA,NA
"Senecio flaccidus","Plantae",NA,NA,NA
"Senna bauhinoides","Plantae",NA,NA,NA
"Solanum elaeagnifolium","Plantae",NA,NA,NA
"Sphaeralcea coccinea","Plantae",NA,NA,NA
"Sphaeralcea hastulata","Plantae",NA,NA,NA
"Sphaeralcea leptophylla","Plantae",NA,NA,NA
"Sphaeralcea wrightii","Plantae",NA,NA,NA
"Sporobolus airoides","Plantae",NA,NA,NA
"Sporobolus contractus","Plantae",NA,NA,NA
"Sporobolus cryptandrus","Plantae",NA,NA,NA
"Sporobolus flexuosus","Plantae",NA,NA,NA
"Stephanomeria pauciflora","Plantae",NA,NA,NA
"Tetraclea coulteri","Plantae",NA,NA,NA
"Thymophylla acerosa","Plantae",NA,NA,NA
"Tidestromia lanuginosa","Plantae",NA,NA,NA
"Tiquilia canescens","Plantae",NA,NA,NA
"Townsendia annua","Plantae",NA,NA,NA
"Tragus racemosus","Plantae",NA,NA,NA
"Zinnia grandiflora","Plantae",NA,NA,NA
"Bahia absinthifolia","Plantae",NA,NA,NA
"Bahia dissecta","Plantae",NA,NA,NA
"Brickellia californica","Plantae",NA,NA,NA
"Chamaesyce stictospora","Plantae",NA,NA,NA
"Dalea brachystachya","Plantae",NA,NA,NA
"Dalea formosa","Plantae",NA,NA,NA
"Eriogonum rotundifolium","Plantae",NA,NA,NA
"Gaillardia pulchella","Plantae",NA,NA,NA
"Gilia mexicana","Plantae",NA,NA,NA
"Ipomopsis longiflora","Plantae",NA,NA,NA
"Machaeranthera canescens","Plantae",NA,NA,NA
"Panicum obtusum","Plantae",NA,NA,NA
"Rhus microphylla","Plantae",NA,NA,NA
"Thelypodium wrightii","Plantae",NA,NA,NA
"Chamaesyce lata","Plantae",NA,NA,NA
"Dimorphocarpa wislizeni","Plantae",NA,NA,NA
"Erodium texanum","Plantae",NA,NA,NA
"Krameria lanceolata","Plantae",NA,NA,NA
"Orobanche ludoviciana","Plantae",NA,NA,NA
"Prosopis glandulosa","Plantae",NA,NA,NA
"Arabis fendleri","Plantae",NA,NA,NA
"Asclepias brachystephana","Plantae",NA,NA,NA
"Asclepias latifolia","Plantae",NA,NA,NA
"Brickellia brachyphylla","Plantae",NA,NA,NA
"Brickellia microphylla","Plantae",NA,NA,NA
"Castilleja integra","Plantae",NA,NA,NA
"Cercocarpus montanus","Plantae",NA,NA,NA
"Dalea jamesii","Plantae",NA,NA,NA
"Erigeron divergens","Plantae",NA,NA,NA
"Eriogonum polycladon","Plantae",NA,NA,NA
"Fallugia paradoxa","Plantae",NA,NA,NA
"Hymenoxys richardsonii","Plantae",NA,NA,NA
"Juniperus monosperma","Plantae",NA,NA,NA
"Lesquerella ovalifolia","Plantae",NA,NA,NA
"Linum lewisii","Plantae",NA,NA,NA
"Lupinus brevicaulis","Plantae",NA,NA,NA
"Lycurus phleoides","Plantae",NA,NA,NA
"Mahonia haematocarpa","Plantae",NA,NA,NA
"Muhlenbergia montana","Plantae",NA,NA,NA
"Muhlenbergia repens","Plantae",NA,NA,NA
"Nerisyrenia camporum","Plantae",NA,NA,NA
"Nolina microcarpa","Plantae",NA,NA,NA
"Opuntia polyacantha","Plantae",NA,NA,NA
"Physalis hederifolia","Plantae",NA,NA,NA
"Pinus edulis","Plantae",NA,NA,NA
"Polygala alba","Plantae",NA,NA,NA
"Quercus turbinella","Plantae",NA,NA,NA
"Rhus trilobata","Plantae",NA,NA,NA
"Solanum heterodoxum","Plantae",NA,NA,NA
"Tetraneuris argentea","Plantae",NA,NA,NA
"Tragia ramosa","Plantae",NA,NA,NA
"Yucca baccata","Plantae",NA,NA,NA
"Dalea nana","Plantae",NA,NA,NA
"Hedeoma oblongifolia","Plantae",NA,NA,NA
"Mirabilis oxybaphoides","Plantae",NA,NA,NA
"Muhlenbergia pauciflora","Plantae",NA,NA,NA
"Aloysia wrightii","Plantae",NA,NA,NA
"Ammocodon chenopodioides","Plantae",NA,NA,NA
"Artemisia dracunculus","Plantae",NA,NA,NA
"Bahia pedata","Plantae",NA,NA,NA
"Bothriochloa barbinodis","Plantae",NA,NA,NA
"Cryptantha cinerea","Plantae",NA,NA,NA
"Dalea lanata","Plantae",NA,NA,NA
"Echinocereus fendleri","Plantae",NA,NA,NA
"Eriastrum diffusum","Plantae",NA,NA,NA
"Erioneuron pulchellum","Plantae",NA,NA,NA
"Heliotropium convolvulaceum","Plantae",NA,NA,NA
"Hilaria jamesii","Plantae",NA,NA,NA
"Ipomopsis multiflora","Plantae",NA,NA,NA
"Kallstroemia californica","Plantae",NA,NA,NA
"Linum australe","Plantae",NA,NA,NA
"Mentzelia albicaulis","Plantae",NA,NA,NA
"Oenothera coronopifolia","Plantae",NA,NA,NA
"Opuntia imbricata","Plantae",NA,NA,NA
"Opuntia phaeacantha","Plantae",NA,NA,NA
"Oryzopsis hymenoides","Plantae",NA,NA,NA
"Palafoxia sphacelata","Plantae",NA,NA,NA
"Penstemon ambiguus","Plantae",NA,NA,NA
"Polanisia dodecandra","Plantae",NA,NA,NA
"Psorothamnus scoparius","Plantae",NA,NA,NA
"Salsola kali","Plantae",NA,NA,NA
"Sclerocactus intertextus","Plantae",NA,NA,NA
"Senecio multicapitatus","Plantae",NA,NA,NA
"Setaria macrostachya","Plantae",NA,NA,NA
"Setaria viridis","Plantae",NA,NA,NA
"Sphaeralcea angustifolia","Plantae",NA,NA,NA
"Sphaeralcea digitata","Plantae",NA,NA,NA
"Sporobolus giganteus","Plantae",NA,NA,NA
"Thelesperma longipes","Plantae",NA,NA,NA
"Thelesperma megapotamicum","Plantae",NA,NA,NA
"Tridens muticus","Plantae",NA,NA,NA
"Vulpia octoflora","Plantae",NA,NA,NA
"Ambrosia acanthicarpa","Plantae",NA,NA,NA
"Astragalus tephrodes","Plantae",NA,NA,NA
"Croton texensis","Plantae",NA,NA,NA
"Descurainia obtusa","Plantae",NA,NA,NA
"Eriogonum jamesii","Plantae",NA,NA,NA
"Erodium cicutarium","Plantae",NA,NA,NA
"Glandularia wrightii","Plantae",NA,NA,NA
"Hedeoma drummondii","Plantae",NA,NA,NA
"Lepidium montanum","Plantae",NA,NA,NA
"Medicago sativa","Plantae",NA,NA,NA
"Artemisia bigelovii","Plantae",NA,NA,NA
"Portulaca halimoides","Plantae",NA,NA,NA
"Viguiera dentata","Plantae",NA,NA,NA
"Chrysothamnus nauseosus","Plantae",NA,NA,NA
"Echinocereus triglochidiatus","Plantae",NA,NA,NA
"Lithospermum cobrense","Plantae",NA,NA,NA
"Lupinus kingii","Plantae",NA,NA,NA
"Mammillaria heyderi","Plantae",NA,NA,NA
"Muhlenbergia asperifolia","Plantae",NA,NA,NA
"Muhlenbergia setifolia","Plantae",NA,NA,NA
"Oenothera albicaulis","Plantae",NA,NA,NA
"Sphaeralcea fendleri","Plantae",NA,NA,NA
"Sporobolus wrightii","Plantae",NA,NA,NA
"Stipa neomexicana","Plantae",NA,NA,NA
"Artemisia filifolia","Plantae",NA,NA,NA
"Boerhavia purpurascens","Plantae",NA,NA,NA
"Chenopodium ambrosioides","Plantae",NA,NA,NA
"Chenopodium rubrum","Plantae",NA,NA,NA
"Erioneuron pilosum","Plantae",NA,NA,NA
"Menodora scabra","Plantae",NA,NA,NA
"Opuntia santa-rita","Plantae",NA,NA,NA
"Aristida ternipes","Plantae",NA,NA,NA
"Atriplex confertifolia","Plantae",NA,NA,NA
"Chamaesyce chaetocalyx","Plantae",NA,NA,NA
"Cyperus fendlerianus","Plantae",NA,NA,NA
"Hymenoclea monogyra","Plantae",NA,NA,NA
"Sclerocactus papyracanthus","Plantae",NA,NA,NA
"Selinocarpus lanceolatus","Plantae",NA,NA,NA
"Corylus avellana","Plantae",NA,NA,NA
"Galanthus nivalis","Plantae",NA,NA,NA
"Salix caprea","Plantae",NA,NA,NA
"Alnus glutinosa","Plantae",NA,NA,NA
"Tussilago farfara","Plantae",NA,NA,NA
"Forsythia suspensa","Plantae",NA,NA,NA
"Anemone nemorosa","Plantae",NA,NA,NA
"Betula pendula","Plantae",NA,NA,NA
"Larix decidua","Plantae",NA,NA,NA
"Fagus sylvatica","Plantae",NA,NA,NA
"Aesculus hippocastanum","Plantae",NA,NA,NA
"Ribes grossularia","Plantae",NA,NA,NA
"Taraxacum officinale","Plantae",NA,NA,NA
"Fraxinus excelsior","Plantae",NA,NA,NA
"Acer platanoides","Plantae",NA,NA,NA
"Prunus spinosa","Plantae",NA,NA,NA
"Ribes rubrum","Plantae",NA,NA,NA
"Prunus cerasus","Plantae",NA,NA,NA
"Pinus sylvestris","Plantae",NA,NA,NA
"Beta vulgaris","Plantae",NA,NA,NA
"Prunus avium","Plantae",NA,NA,NA
"Picea abies","Plantae",NA,NA,NA
"Quercus robur","Plantae",NA,NA,NA
"Prunus domestica","Plantae",NA,NA,NA
"Syringa vulgaris","Plantae",NA,NA,NA
"Malus domestica","Plantae",NA,NA,NA
"Sorbus aucuparia","Plantae",NA,NA,NA
"Robinia pseudoacacia","Plantae",NA,NA,NA
"Zea mays","Plantae",NA,NA,NA
"Solanum tuberosum","Plantae",NA,NA,NA
"Dactylis glomerata","Plantae",NA,NA,NA
"Sambucus nigra","Plantae",NA,NA,NA
"Tilia platyphyllos","Plantae",NA,NA,NA
"Vitis vinifera","Plantae",NA,NA,NA
"Calluna vulgaris","Plantae",NA,NA,NA
"Pyrus communis","Plantae",NA,NA,NA
"Tilia cordata","Plantae",NA,NA,NA
"Alopecurus pratensis","Plantae",NA,NA,NA
